minutes,tcp_srtt_source,tcp_srtt_SRTT_cumulative
2025-05-17 17:09:45,THREADFULL,4643.443272565996
2025-05-17 17:10:00,THREADFULL,4496.328952147526
2025-05-17 17:10:15,THREADFULL,4387.758793609022
2025-05-17 17:10:30,THREADFULL,4372.713970295362
2025-05-17 17:10:45,THREADFULL,4387.302301448552
2025-05-17 17:11:00,THREADFULL,4389.250301448552
2025-05-17 17:11:15,THREADFULL,4537.796477738212
2025-05-17 17:11:30,THREADFULL,4722.178140526139
2025-05-17 17:11:45,THREADFULL,4847.936719110442
2025-05-17 17:12:00,THREADFULL,4864.323386068012
2025-05-17 17:12:15,THREADFULL,4979.773155597327
2025-05-17 17:12:30,THREADFULL,4969.2377996448
2025-05-17 17:12:45,THREADFULL,4881.832917970916
2025-05-17 17:13:00,THREADFULL,4828.419160533909
2025-05-17 17:13:15,THREADFULL,4843.51240355233
2025-05-17 17:13:30,THREADFULL,4831.41284709357
2025-05-17 17:13:45,THREADFULL,4795.787867965367
2025-05-17 17:14:00,THREADFULL,4824.540946969696
2025-05-17 17:14:15,THREADFULL,5131.975523809524
2025-05-17 17:14:30,THREADFULL,5303.135722222221
2025-05-17 17:14:45,THREADFULL,5203.942333333333
2025-05-17 17:15:00,THREADFULL,4924.207698222829
2025-05-17 17:15:15,THREADFULL,4649.15348809524
2025-05-17 17:15:30,THREADFULL,4459.084483561847
2025-05-17 17:15:45,THREADFULL,4488.486834365765
2025-05-17 17:16:00,THREADFULL,4387.491549999999
2025-05-17 17:16:15,THREADFULL,4463.661804526227
2025-05-17 17:16:30,THREADFULL,4495.907389199819
2025-05-17 17:16:45,THREADFULL,4470.785665173844
2025-05-17 17:17:00,THREADFULL,4347.861115079366
2025-05-17 17:17:15,THREADFULL,4189.343271288515
2025-05-17 17:17:30,THREADFULL,3955.965014319015
2025-05-17 17:17:45,THREADFULL,3913.503174185464
2025-05-17 17:18:00,THREADFULL,4016.285418403478
2025-05-17 17:18:15,THREADFULL,4221.1026139971145
2025-05-17 17:18:30,THREADFULL,4061.454651918986
2025-05-17 17:18:45,THREADFULL,4037.4961008811833
2025-05-17 17:19:00,THREADFULL,4115.93719326799
2025-05-17 17:19:15,THREADFULL,4252.529454189639
2025-05-17 17:19:30,THREADFULL,4602.871706349209
2025-05-17 17:19:45,THREADFULL,4769.173017399266
2025-05-17 17:20:00,THREADFULL,4840.867492001295
2025-05-17 17:20:15,THREADFULL,4778.571452380955
2025-05-17 17:20:30,THREADFULL,4919.280366460168
2025-05-17 17:20:45,THREADFULL,5029.135238095239
2025-05-17 17:21:00,THREADFULL,4955.635467903014
2025-05-17 17:21:15,THREADFULL,5089.021413600589
2025-05-17 17:21:30,THREADFULL,5287.637002525253
2025-05-17 17:21:45,THREADFULL,5255.443369047618
2025-05-17 17:22:00,THREADFULL,5129.833575716251
2025-05-17 17:22:15,THREADFULL,5116.072210317462
2025-05-17 17:22:30,THREADFULL,5042.625711760462
2025-05-17 17:22:45,THREADFULL,4941.649912347457
2025-05-17 17:23:00,THREADFULL,4885.212285502081
2025-05-17 17:23:15,THREADFULL,4912.622960636886
2025-05-17 17:23:30,THREADFULL,4754.288833333334
2025-05-17 17:23:45,THREADFULL,4699.629639652831
2025-05-17 17:24:00,THREADFULL,4659.803102708075
2025-05-17 17:24:15,THREADFULL,4349.974313492064
2025-05-17 17:24:30,THREADFULL,4601.354311014151
2025-05-17 17:24:45,THREADFULL,4731.810422161173
2025-05-17 17:25:00,THREADFULL,5078.333912698412
2025-05-17 17:25:15,THREADFULL,5514.260793650796
2025-05-17 17:25:30,THREADFULL,5616.423729437232
2025-05-17 17:25:45,THREADFULL,5623.151150793653
2025-05-17 17:26:00,THREADFULL,5484.67916537221
2025-05-17 17:26:15,THREADFULL,5348.114845238097
2025-05-17 17:26:30,THREADFULL,5324.069539682541
2025-05-17 17:26:45,THREADFULL,5181.993472222223
2025-05-17 17:27:00,THREADFULL,5214.308384920635
2025-05-17 17:27:15,THREADFULL,5320.805635281386
2025-05-17 17:27:30,THREADFULL,5635.75
2025-05-17 17:27:45,THREADFULL,5572.5
2025-05-17 17:28:00,THREADFULL,5782.0
2025-05-17 17:28:15,THREADFULL,5386.0
2025-05-17 17:28:30,THREADFULL,5369.0
2025-05-17 17:28:45,THREADFULL,5388.800337301588
2025-05-17 17:29:00,THREADFULL,5158.784023809521
2025-05-17 17:29:15,THREADFULL,5173.193428571429
2025-05-17 17:29:30,THREADFULL,5368.641674603174
2025-05-17 17:29:45,THREADFULL,5132.260214285714
2025-05-17 17:30:00,THREADFULL,5078.978244588745
2025-05-17 17:30:15,THREADFULL,4300.0
2025-05-17 17:30:30,THREADFULL,4245.5
2025-05-17 17:30:45,THREADFULL,4208.25
2025-05-17 17:31:00,THREADFULL,4249.5
2025-05-17 17:31:15,THREADFULL,4760.0
2025-05-17 17:31:30,THREADFULL,4844.0
2025-05-17 17:31:45,THREADFULL,4844.0
2025-05-17 17:32:00,THREADFULL,4803.886322575946
2025-05-17 17:32:15,THREADFULL,4690.200452147526
2025-05-17 17:32:30,THREADFULL,4718.408259867585
2025-05-17 17:32:45,THREADFULL,4569.400101811965
2025-05-17 17:33:00,THREADFULL,4543.7328607086665
2025-05-17 17:33:15,THREADFULL,4364.781428571428
2025-05-17 17:33:30,THREADFULL,3645.2007460317454
2025-05-17 17:33:45,THREADFULL,3675.327575883417
2025-05-17 17:34:00,THREADFULL,3821.103908784586
2025-05-17 17:34:15,THREADFULL,4328.28953029555
2025-05-17 17:34:30,THREADFULL,5218.0
2025-05-17 17:34:45,THREADFULL,5218.0
2025-05-17 17:35:00,THREADFULL,5496.0
2025-05-17 17:35:15,THREADFULL,5229.0
2025-05-17 17:35:30,THREADFULL,5255.0
2025-05-17 17:35:45,THREADFULL,5337.601813492065
2025-05-17 17:36:00,THREADFULL,5213.386949134198
2025-05-17 17:36:15,THREADFULL,5603.680578754579
2025-05-17 17:36:30,THREADFULL,5501.403455738705
2025-05-17 17:36:45,THREADFULL,5647.76859920635
2025-05-17 17:37:00,THREADFULL,5647.76859920635
2025-05-17 17:37:15,THREADFULL,5610.142202380955
2025-05-17 17:37:30,THREADFULL,5685.559629981131
2025-05-17 17:37:45,THREADFULL,5648.255098235099
2025-05-17 17:38:00,THREADFULL,5496.504837450134
2025-05-17 17:38:15,THREADFULL,5325.036705738707
2025-05-17 17:38:30,THREADFULL,5114.061746031747
2025-05-17 17:38:45,THREADFULL,5009.449866522366
2025-05-17 17:39:00,THREADFULL,4974.997309523809
2025-05-17 17:39:15,THREADFULL,5424.526912698415
