Time,mem_available
2025-05-18 01:25:15,8409152
2025-05-18 01:25:30,10168224
2025-05-18 01:25:45,10168224
2025-05-18 01:26:00,10168224
2025-05-18 01:26:15,10168224
2025-05-18 01:26:30,8259040
2025-05-18 01:26:45,8259040
2025-05-18 01:27:00,8259040
2025-05-18 01:27:15,8259040
2025-05-18 01:27:30,8033452
2025-05-18 01:27:45,8033452
2025-05-18 01:28:00,8033452
2025-05-18 01:28:15,8033452
2025-05-18 01:28:30,8011104
2025-05-18 01:28:45,8011104
2025-05-18 01:29:00,8011104
2025-05-18 01:29:15,8011104
2025-05-18 01:29:30,8185760
2025-05-18 01:29:45,8185760
2025-05-18 01:30:00,8185760
2025-05-18 01:30:15,8185760
2025-05-18 01:30:30,8271856
2025-05-18 01:30:45,8271856
2025-05-18 01:31:00,8271856
2025-05-18 01:31:15,8271856
2025-05-18 01:31:30,8388048
2025-05-18 01:31:45,8388048
2025-05-18 01:32:00,8388048
2025-05-18 01:32:15,8388048
2025-05-18 01:32:30,8398636
2025-05-18 01:32:45,8398636
2025-05-18 01:33:00,8398636
2025-05-18 01:33:15,8398636
2025-05-18 01:33:30,8400856
2025-05-18 01:33:45,8400856
2025-05-18 01:34:00,8400856
2025-05-18 01:34:15,8400856
2025-05-18 01:34:30,8602892
2025-05-18 01:34:45,8602892
2025-05-18 01:35:00,8602892
2025-05-18 01:35:15,8602892
2025-05-18 01:35:30,8328696
2025-05-18 01:35:45,8328696
2025-05-18 01:36:00,8328696
2025-05-18 01:36:15,8328696
2025-05-18 01:36:30,8207704
2025-05-18 01:36:45,8207704
2025-05-18 01:37:00,8207704
2025-05-18 01:37:15,8207704
2025-05-18 01:37:30,8190060
2025-05-18 01:37:45,8190060
2025-05-18 01:38:00,8190060
2025-05-18 01:38:15,8190060
2025-05-18 01:38:30,8578940
2025-05-18 01:38:45,8578940
2025-05-18 01:39:00,8578940
2025-05-18 01:39:15,8578940
2025-05-18 01:39:30,8050140
2025-05-18 01:39:45,8050140
2025-05-18 01:40:00,8050140
2025-05-18 01:40:15,8050140
2025-05-18 01:40:30,8004436
2025-05-18 01:40:45,8004436
2025-05-18 01:41:00,8004436
2025-05-18 01:41:15,8004436
2025-05-18 01:41:30,8080400
2025-05-18 01:41:45,8080400
2025-05-18 01:42:00,8080400
2025-05-18 01:42:15,8080400
2025-05-18 01:42:30,8018636
2025-05-18 01:42:45,8018636
2025-05-18 01:43:00,8018636
2025-05-18 01:43:15,8018636
2025-05-18 01:43:30,8202932
2025-05-18 01:43:45,8202932
2025-05-18 01:44:00,8202932
2025-05-18 01:44:15,8202932
2025-05-18 01:44:30,8192236
2025-05-18 01:44:45,8192236
2025-05-18 01:45:00,8192236
2025-05-18 01:45:15,8192236
2025-05-18 01:45:30,8041688
2025-05-18 01:45:45,8041688
2025-05-18 01:46:00,8041688
2025-05-18 01:46:15,8041688
2025-05-18 01:46:30,7983412
2025-05-18 01:46:45,7983412
2025-05-18 01:47:00,7983412
2025-05-18 01:47:15,7983412
2025-05-18 01:47:30,7973284
2025-05-18 01:47:45,7973284
2025-05-18 01:48:00,7973284
2025-05-18 01:48:15,7973284
2025-05-18 01:48:30,7957468
2025-05-18 01:48:45,7957468
2025-05-18 01:49:00,7957468
2025-05-18 01:49:15,7957468
2025-05-18 01:49:30,7956228
2025-05-18 01:49:45,7956228
2025-05-18 01:50:00,7956228
2025-05-18 01:50:15,7956228
2025-05-18 01:50:30,7952308
2025-05-18 01:50:45,7952308
2025-05-18 01:51:00,7952308
2025-05-18 01:51:15,7952308
2025-05-18 01:51:30,7959852
2025-05-18 01:51:45,7959852
2025-05-18 01:52:00,7959852
2025-05-18 01:52:15,7959852
2025-05-18 01:52:30,7941416
2025-05-18 01:52:45,7941416
2025-05-18 01:53:00,7941416
2025-05-18 01:53:15,7941416
2025-05-18 01:53:30,7945844
2025-05-18 01:53:45,7945844
2025-05-18 01:54:00,7945844
2025-05-18 01:54:15,7945844
2025-05-18 01:54:30,7977760
2025-05-18 01:54:45,7977760
2025-05-18 01:55:00,7977760
2025-05-18 01:55:15,7977760
2025-05-18 01:55:30,8544188
2025-05-18 01:55:45,8544188
2025-05-18 01:56:00,8544188
2025-05-18 01:56:15,8544188
2025-05-18 01:56:30,7974028
2025-05-18 01:56:45,7974028
2025-05-18 01:57:00,7974028
2025-05-18 01:57:15,7974028
2025-05-18 01:57:30,7917812
2025-05-18 01:57:45,7917812
2025-05-18 01:58:00,7917812
2025-05-18 01:58:15,7917812
2025-05-18 01:58:30,7911324
2025-05-18 01:58:45,7911324
2025-05-18 01:59:00,7911324
2025-05-18 01:59:15,7911324
2025-05-18 01:59:30,7886756
2025-05-18 01:59:45,7886756
2025-05-18 02:00:00,7886756
2025-05-18 02:00:15,7886756
2025-05-18 02:00:30,7858936
2025-05-18 02:00:45,7858936
2025-05-18 02:01:00,7858936
2025-05-18 02:01:15,7858936
2025-05-18 02:01:30,7865620
2025-05-18 02:01:45,7865620
2025-05-18 02:02:00,7865620
2025-05-18 02:02:15,7865620
2025-05-18 02:02:30,9109556
2025-05-18 02:02:45,9109556
2025-05-18 02:03:00,9109556
2025-05-18 02:03:15,9109556
2025-05-18 02:03:30,10962928
