minutes,memavailable_mem_available,memavailable_source,memavailable_Minutes,memcache_mem_cache,memcache_source,memcache_Minutes,memory_mem_available,memory_source,memory_Minutes,memory_mem_cache,memory_source,memory_Minutes,memory_mem_util,memory_source,memory_Minutes,memutil_mem_util,memutil_source,memutil_Minutes
20.75,13601668.578449724,MEM_STRESS,20.75,4063275.1878779177,MEM_STRESS,20.75,13595035,MEM_STRESS,20.75,4063456,MEM_STRESS,20.75,44.63099999999999,MEM_STRESS,20.75,44.7393889366172,MEM_STRESS,20.75
21.0,13590438.116136575,MEM_STRESS,21.0,4063083.885990965,MEM_STRESS,21.0,13593082,MEM_STRESS,21.0,4061793,MEM_STRESS,21.0,44.66264749694746,MEM_STRESS,21.0,44.864958071429776,MEM_STRESS,21.0
21.25,13586916.402803242,MEM_STRESS,21.25,4062764.910803674,MEM_STRESS,21.25,13592275,MEM_STRESS,21.25,4061204,MEM_STRESS,21.25,44.70114749694744,MEM_STRESS,21.25,44.8684164047631,MEM_STRESS,21.25
21.5,13582377.975600932,MEM_STRESS,21.5,4055844.880415685,MEM_STRESS,21.5,13587848,MEM_STRESS,21.5,4054407,MEM_STRESS,21.5,44.71226031746025,MEM_STRESS,21.5,44.80716716415162,MEM_STRESS,21.5
21.75,13572425.385725329,MEM_STRESS,21.75,4055441.686436856,MEM_STRESS,21.75,13584085,MEM_STRESS,21.75,4053764,MEM_STRESS,21.75,44.7160936507936,MEM_STRESS,21.75,44.73842682260912,MEM_STRESS,21.75
22.0,13564502.393196307,MEM_STRESS,22.0,4058626.498302397,MEM_STRESS,22.0,13577639,MEM_STRESS,22.0,4057441,MEM_STRESS,22.0,44.73846416361413,MEM_STRESS,22.0,44.74317896257443,MEM_STRESS,22.0
22.25,13563766.628196308,MEM_STRESS,22.25,4058650.084969063,MEM_STRESS,22.25,13576403,MEM_STRESS,22.25,4057471,MEM_STRESS,22.25,44.77346416361419,MEM_STRESS,22.25,44.74476824828872,MEM_STRESS,22.25
22.5,13559164.570496395,MEM_STRESS,22.5,4059039.751925232,MEM_STRESS,22.5,13564357,MEM_STRESS,22.5,4058508,MEM_STRESS,22.5,44.79602222222229,MEM_STRESS,22.5,44.79537606759361,MEM_STRESS,22.5
22.75,13553170.306395607,MEM_STRESS,22.75,4059266.780814997,MEM_STRESS,22.75,13554757,MEM_STRESS,22.75,4058790,MEM_STRESS,22.75,44.80338011695914,MEM_STRESS,22.75,44.84154693943725,MEM_STRESS,22.75
23.0,13550563.959286854,MEM_STRESS,23.0,4059549.490575943,MEM_STRESS,23.0,13552974,MEM_STRESS,23.0,4058391,MEM_STRESS,23.0,44.793569316648345,MEM_STRESS,23.0,44.83420194831728,MEM_STRESS,23.0
23.25,13548426.38668813,MEM_STRESS,23.25,4059621.12301184,MEM_STRESS,23.25,13552753,MEM_STRESS,23.25,4058418,MEM_STRESS,23.25,44.794997888076914,MEM_STRESS,23.25,44.83420194831728,MEM_STRESS,23.25
23.5,13556630.78778684,MEM_STRESS,23.5,4060069.338740974,MEM_STRESS,23.5,13564408,MEM_STRESS,23.5,4059672,MEM_STRESS,23.5,44.80199788807691,MEM_STRESS,23.5,44.834884091174416,MEM_STRESS,23.5
23.75,13560150.348128764,MEM_STRESS,23.75,4060349.7610012246,MEM_STRESS,23.75,13570104,MEM_STRESS,23.75,4060055,MEM_STRESS,23.75,44.80399788807692,MEM_STRESS,23.75,44.83401082277614,MEM_STRESS,23.75
24.0,13560181.799303517,MEM_STRESS,24.0,4060662.793953455,MEM_STRESS,24.0,13569420,MEM_STRESS,24.0,4059984,MEM_STRESS,24.0,44.80399788807692,MEM_STRESS,24.0,44.83521082277614,MEM_STRESS,24.0
24.25,13560181.799303517,MEM_STRESS,24.25,4060685.223477265,MEM_STRESS,24.25,13569420,MEM_STRESS,24.25,4060015,MEM_STRESS,24.25,44.80399788807692,MEM_STRESS,24.25,44.84478383864917,MEM_STRESS,24.25
24.5,13558161.64670274,MEM_STRESS,24.5,4061199.468175096,MEM_STRESS,24.5,13566372,MEM_STRESS,24.5,4061152,MEM_STRESS,24.5,44.80399788807692,MEM_STRESS,24.5,44.85281284297817,MEM_STRESS,24.5
24.75,13553784.294471929,MEM_STRESS,24.75,4061573.691825429,MEM_STRESS,24.75,13563275,MEM_STRESS,24.75,4061395,MEM_STRESS,24.75,44.81599788807692,MEM_STRESS,24.75,44.85698427154959,MEM_STRESS,24.75
25.0,13544590.17361061,MEM_STRESS,25.0,4061873.858088355,MEM_STRESS,25.0,13543366,MEM_STRESS,25.0,4061241,MEM_STRESS,25.0,44.90599788807691,MEM_STRESS,25.0,44.89014577948609,MEM_STRESS,25.0
25.25,13508542.469014484,MEM_STRESS,25.25,4062006.8805770422,MEM_STRESS,25.25,13524837,MEM_STRESS,25.25,4061486,MEM_STRESS,25.25,45.192844041923045,MEM_STRESS,25.25,44.96022122947471,MEM_STRESS,25.25
25.5,13448019.471575022,MEM_STRESS,25.5,4062715.0122017832,MEM_STRESS,25.5,13434102,MEM_STRESS,25.5,4062571,MEM_STRESS,25.5,45.36200000000001,MEM_STRESS,25.5,45.24446994933171,MEM_STRESS,25.5
25.75,13421870.829174189,MEM_STRESS,25.75,4062873.336098572,MEM_STRESS,25.75,13424664,MEM_STRESS,25.75,4062979,MEM_STRESS,25.75,45.41300000000004,MEM_STRESS,25.75,45.39198703567671,MEM_STRESS,25.75
