Time,write_bytes_cumulative
2025-05-17 18:35:15,2618
2025-05-17 18:35:30,2618
2025-05-17 18:35:45,2618
2025-05-17 18:36:00,2618
2025-05-17 18:36:15,2618
2025-05-17 18:36:30,2618
2025-05-17 18:36:45,2618
2025-05-17 18:37:00,2618
2025-05-17 18:37:15,2618
2025-05-17 18:37:30,2618
2025-05-17 18:37:45,2618
2025-05-17 18:38:00,2618
2025-05-17 18:38:15,2618
2025-05-17 18:38:30,2618
2025-05-17 18:38:45,2618
2025-05-17 18:39:00,2618
2025-05-17 18:39:15,2618
2025-05-17 18:39:30,2618
2025-05-17 18:39:45,2618
2025-05-17 18:40:00,2618
2025-05-17 18:40:15,2618
2025-05-17 18:40:30,2618
2025-05-17 18:40:45,2618
2025-05-17 18:41:00,2618
2025-05-17 18:41:15,2618
2025-05-17 18:41:30,2618
2025-05-17 18:41:45,2618
2025-05-17 18:42:00,1787
2025-05-17 18:42:15,1787
2025-05-17 18:42:30,1787
2025-05-17 18:42:45,1787
2025-05-17 18:43:00,1787
2025-05-17 18:43:15,1787
2025-05-17 18:43:30,1787
2025-05-17 18:43:45,1787
2025-05-17 18:44:00,1787
2025-05-17 18:44:15,1787
2025-05-17 18:44:30,1787
2025-05-17 18:44:45,1787
2025-05-17 18:45:00,17348347
2025-05-17 18:45:15,17348347
2025-05-17 18:45:30,17348347
2025-05-17 18:45:45,17348347
2025-05-17 18:46:00,11681531
2025-05-17 18:46:15,11681531
2025-05-17 18:46:30,11681531
2025-05-17 18:46:45,6014715
2025-05-17 18:47:00,3464955
2025-05-17 18:47:15,3464955
2025-05-17 18:47:30,3464955
2025-05-17 18:47:45,3464955
2025-05-17 18:48:00,458491
2025-05-17 18:48:15,696059
2025-05-17 18:48:30,636667
2025-05-17 18:48:45,577275
2025-05-17 18:49:00,120571
2025-05-17 18:49:15,120571
2025-05-17 18:49:30,61179
2025-05-17 18:49:45,1787
2025-05-17 18:50:00,1787
2025-05-17 18:50:15,1787
2025-05-17 18:50:30,1787
2025-05-17 18:50:45,1787
2025-05-17 18:51:00,476923
2025-05-17 18:51:15,120571
2025-05-17 18:51:30,120571
2025-05-17 18:51:45,155507
2025-05-17 18:52:00,120609
2025-05-17 18:52:15,1825
2025-05-17 18:52:30,1825
2025-05-17 18:52:45,1825
2025-05-17 18:53:00,2618
2025-05-17 18:53:15,2618
2025-05-17 18:53:30,2618
2025-05-17 18:53:45,2618
2025-05-17 18:54:00,2618
2025-05-17 18:54:15,2618
2025-05-17 18:54:30,2618
2025-05-17 18:54:45,4543
2025-05-17 18:55:00,27163
2025-05-17 18:55:15,190435
2025-05-17 18:55:30,301932
2025-05-17 18:55:45,299957
2025-05-17 18:56:00,248824
2025-05-17 18:56:15,136590
2025-05-17 18:56:30,55040
2025-05-17 18:56:45,47210
2025-05-17 18:57:00,10629
2025-05-17 18:57:15,10629
2025-05-17 18:57:30,10629
2025-05-17 18:57:45,10657
2025-05-17 18:58:00,10670
2025-05-17 18:58:15,13744
2025-05-17 18:58:30,10536
2025-05-17 18:58:45,10637
2025-05-17 18:59:00,7543
2025-05-17 18:59:15,8901
2025-05-17 18:59:30,7437
2025-05-17 18:59:45,7525
2025-05-17 19:00:00,9577
2025-05-17 19:00:15,9577
