Time,disk sda,source,Minutes
2025-05-17 18:11:30,13.0,MEM_STRESS,71.75
2025-05-17 18:11:45,13.0,MEM_STRESS,72.0
2025-05-17 18:12:00,13.0,MEM_STRESS,72.25
2025-05-17 18:12:15,13.0,MEM_STRESS,72.5
2025-05-17 18:12:30,12.0,MEM_STRESS,72.75
2025-05-17 18:12:45,12.0,MEM_STRESS,73.0
2025-05-17 18:13:00,12.0,MEM_STRESS,73.25
2025-05-17 18:13:15,12.0,MEM_STRESS,73.5
2025-05-17 18:13:30,12.0,MEM_STRESS,73.75
2025-05-17 18:13:45,13.0,MEM_STRESS,74.0
2025-05-17 18:14:00,13.0,MEM_STRESS,74.25
2025-05-17 18:14:15,13.0,MEM_STRESS,74.5
2025-05-17 18:14:30,13.0,MEM_STRESS,74.75
2025-05-17 18:14:45,13.0,MEM_STRESS,75.0
2025-05-17 18:15:00,13.0,MEM_STRESS,75.25
2025-05-17 18:15:15,13.0,MEM_STRESS,75.5
2025-05-17 18:15:30,13.0,MEM_STRESS,75.75
2025-05-17 18:15:45,13.0,MEM_STRESS,76.0
2025-05-17 18:16:00,13.0,MEM_STRESS,76.25
2025-05-17 18:16:15,13.0,MEM_STRESS,76.5
2025-05-17 18:16:30,13.0,MEM_STRESS,76.75
2025-05-17 18:16:45,13.0,MEM_STRESS,77.0
2025-05-17 18:17:00,13.0,MEM_STRESS,77.25
2025-05-17 18:17:15,13.0,MEM_STRESS,77.5
2025-05-17 18:17:30,13.0,MEM_STRESS,77.75
2025-05-17 18:17:45,13.0,MEM_STRESS,78.0
2025-05-17 18:18:00,13.0,MEM_STRESS,78.25
2025-05-17 18:18:15,13.0,MEM_STRESS,78.5
2025-05-17 18:18:30,13.0,MEM_STRESS,78.75
2025-05-17 18:18:45,13.0,MEM_STRESS,79.0
2025-05-17 18:19:00,13.0,MEM_STRESS,79.25
2025-05-17 18:19:15,13.0,MEM_STRESS,79.5
2025-05-17 18:19:30,13.0,MEM_STRESS,79.75
2025-05-17 18:19:45,13.0,MEM_STRESS,80.0
2025-05-17 18:20:00,13.0,MEM_STRESS,80.25
2025-05-17 18:20:15,13.0,MEM_STRESS,80.5
2025-05-17 18:20:30,13.0,MEM_STRESS,80.75
2025-05-17 18:20:45,13.0,MEM_STRESS,81.0
2025-05-17 18:21:00,13.0,MEM_STRESS,81.25
2025-05-17 18:21:15,13.0,MEM_STRESS,81.5
2025-05-17 18:21:30,12.0,MEM_STRESS,81.75
2025-05-17 18:21:45,12.0,MEM_STRESS,82.0
2025-05-17 18:22:00,12.0,MEM_STRESS,82.25
2025-05-17 18:22:15,12.0,MEM_STRESS,82.5
2025-05-17 18:22:30,12.0,MEM_STRESS,82.75
2025-05-17 18:22:45,13.0,MEM_STRESS,83.0
2025-05-17 18:23:00,13.0,MEM_STRESS,83.25
2025-05-17 18:23:15,13.0,MEM_STRESS,83.5
2025-05-17 18:23:30,13.0,MEM_STRESS,83.75
2025-05-17 18:23:45,13.0,MEM_STRESS,84.0
2025-05-17 18:24:00,13.0,MEM_STRESS,84.25
2025-05-17 18:24:15,13.0,MEM_STRESS,84.5
2025-05-17 18:24:30,13.0,MEM_STRESS,84.75
2025-05-17 18:24:45,13.0,MEM_STRESS,85.0
2025-05-17 18:25:00,13.0,MEM_STRESS,85.25
2025-05-17 18:25:15,13.0,MEM_STRESS,85.5
2025-05-17 18:25:30,13.0,MEM_STRESS,85.75
2025-05-17 18:25:45,13.0,MEM_STRESS,86.0
2025-05-17 18:26:00,13.0,MEM_STRESS,86.25
2025-05-17 18:26:15,13.0,MEM_STRESS,86.5
2025-05-17 18:26:30,13.0,MEM_STRESS,86.75
2025-05-17 18:26:45,13.0,MEM_STRESS,87.0
