minutes,tcp_customersservice_customers_service,tcp_customersservice_source,tcp_vetsservice_vets_service,tcp_vetsservice_source,tcp_visitsservice_visits_service,tcp_visitsservice_source
2025-05-17 17:06:00,53,OOM,0.0,OOM,0,OOM
2025-05-17 17:06:15,106,OOM,0.0,OOM,0,OOM
2025-05-17 17:06:30,106,OOM,0.0,OOM,0,OOM
2025-05-17 17:06:45,106,OOM,0.0,OOM,0,OOM
2025-05-17 17:07:00,106,OOM,0.0,OOM,0,OOM
2025-05-17 17:07:15,128,OOM,0.0,OOM,0,OOM
2025-05-17 17:07:30,128,OOM,0.0,OOM,0,OOM
2025-05-17 17:07:45,128,OOM,0.0,OOM,0,OOM
2025-05-17 17:08:00,128,OOM,0.0,OOM,0,OOM
2025-05-17 17:08:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:08:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:08:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:09:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:09:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:09:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:09:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:10:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:10:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:10:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:10:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:11:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:11:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:11:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:11:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:12:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:12:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:12:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:12:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:13:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:13:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:13:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:13:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:14:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:14:15,177,OOM,0.0,OOM,0,OOM
2025-05-17 17:14:30,177,OOM,0.0,OOM,0,OOM
2025-05-17 17:14:45,177,OOM,0.0,OOM,0,OOM
2025-05-17 17:15:00,177,OOM,0.0,OOM,0,OOM
2025-05-17 17:15:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:15:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:15:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:16:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:16:15,7,OOM,0.0,OOM,0,OOM
2025-05-17 17:16:30,7,OOM,0.0,OOM,0,OOM
2025-05-17 17:16:45,7,OOM,0.0,OOM,0,OOM
2025-05-17 17:17:00,7,OOM,0.0,OOM,0,OOM
2025-05-17 17:17:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:17:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:17:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:18:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:18:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:18:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:18:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:19:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:19:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:19:30,2,OOM,0.0,OOM,0,OOM
2025-05-17 17:19:45,2,OOM,0.0,OOM,0,OOM
2025-05-17 17:20:00,2,OOM,0.0,OOM,0,OOM
2025-05-17 17:20:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:20:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:20:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:21:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:21:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:21:30,260,OOM,0.0,OOM,0,OOM
2025-05-17 17:21:45,260,OOM,0.0,OOM,0,OOM
2025-05-17 17:22:00,260,OOM,0.0,OOM,0,OOM
2025-05-17 17:22:15,260,OOM,0.0,OOM,0,OOM
2025-05-17 17:22:30,29,OOM,0.0,OOM,0,OOM
2025-05-17 17:22:45,29,OOM,0.0,OOM,0,OOM
2025-05-17 17:23:00,29,OOM,0.0,OOM,0,OOM
2025-05-17 17:23:15,29,OOM,0.0,OOM,0,OOM
2025-05-17 17:23:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:23:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:24:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:24:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:24:30,8,OOM,0.0,OOM,0,OOM
2025-05-17 17:24:45,8,OOM,0.0,OOM,0,OOM
2025-05-17 17:25:00,8,OOM,0.0,OOM,0,OOM
2025-05-17 17:25:15,8,OOM,0.0,OOM,0,OOM
2025-05-17 17:25:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:25:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:26:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:26:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:26:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:26:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:27:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:27:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:27:30,716,OOM,0.0,OOM,0,OOM
2025-05-17 17:27:45,716,OOM,0.0,OOM,0,OOM
2025-05-17 17:28:00,716,OOM,0.0,OOM,0,OOM
2025-05-17 17:28:15,716,OOM,0.0,OOM,0,OOM
2025-05-17 17:28:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:28:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:29:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:29:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:29:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:29:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:30:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:30:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:30:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:30:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:31:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:31:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:31:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:31:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:32:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:32:15,44,OOM,0.0,OOM,0,OOM
2025-05-17 17:32:30,44,OOM,0.0,OOM,0,OOM
2025-05-17 17:32:45,44,OOM,0.0,OOM,0,OOM
2025-05-17 17:33:00,44,OOM,0.0,OOM,0,OOM
2025-05-17 17:33:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:33:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:33:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:34:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:34:15,94,OOM,0.0,OOM,0,OOM
2025-05-17 17:34:30,94,OOM,0.0,OOM,0,OOM
2025-05-17 17:34:45,94,OOM,0.0,OOM,0,OOM
2025-05-17 17:35:00,94,OOM,0.0,OOM,0,OOM
2025-05-17 17:35:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:35:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:35:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:36:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:36:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:36:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:36:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:37:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:37:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:37:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:37:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:38:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:38:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:38:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:38:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:39:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:39:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:39:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:39:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:40:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:40:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:40:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:40:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:41:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:41:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:41:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:41:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:42:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:42:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:42:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:42:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:43:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:43:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:43:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:43:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:44:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:44:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:44:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:44:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:45:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:45:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:45:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:45:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:46:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:46:15,171,OOM,0.0,OOM,0,OOM
2025-05-17 17:46:30,171,OOM,0.0,OOM,0,OOM
2025-05-17 17:46:45,171,OOM,0.0,OOM,0,OOM
2025-05-17 17:47:00,171,OOM,0.0,OOM,0,OOM
2025-05-17 17:47:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:47:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:47:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:48:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:48:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:48:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:48:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:49:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:49:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:49:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:49:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:50:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:50:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 17:50:30,0,OOM,0.0,OOM,0,OOM
