time,apigateway_api_gateway,customersservice_customers_service,srtt_SRTT_cumulative,vetsservice_vets_service,visitsservice_visits_service
2025-05-17 17:27:00,0.0,109.5,4955.545166894004,0.0,5.25
2025-05-17 17:27:15,0.0,23.25,4782.972521448869,0.0,0.75
2025-05-17 17:27:30,0.0,23.25,4365.089619667596,0.0,0.75
2025-05-17 17:27:45,0.0,23.25,4408.286695889074,0.0,0.75
2025-05-17 17:28:00,0.0,23.25,4409.42768139632,0.0,0.75
2025-05-17 17:28:15,0.0,15.75,4421.402863214503,0.0,0.75
2025-05-17 17:28:30,0.0,15.75,4579.735517446651,0.0,1.0
2025-05-17 17:28:45,0.0,15.75,4615.478244596565,0.0,1.0
2025-05-17 17:29:00,0.0,15.75,4608.18233983466,0.0,1.0
2025-05-17 17:29:15,0.0,0.0,4552.95619467337,0.0,1.0
2025-05-17 17:29:30,0.0,0.0,4565.300719474756,0.0,1.0
2025-05-17 17:29:45,0.0,0.0,4413.078215103005,0.0,1.0
2025-05-17 17:30:00,0.0,0.0,4389.614715103005,0.0,1.0
2025-05-17 17:30:15,0.0,5.25,4290.056330808937,0.0,1.0
2025-05-17 17:30:30,0.0,5.25,3726.842731670297,0.0,1.0
2025-05-17 17:30:45,0.0,5.25,3562.084683261184,0.0,1.0
2025-05-17 17:31:00,0.0,5.25,3638.027956709957,0.0,0.75
2025-05-17 17:31:15,0.0,12.75,3902.6914870090286,0.0,0.75
2025-05-17 17:31:30,0.0,12.75,4336.352997014451,0.0,0.75
2025-05-17 17:31:45,0.0,12.75,4407.740897173739,0.0,0.75
2025-05-17 17:32:00,0.0,12.75,4391.014230507071,0.0,0.75
2025-05-17 17:32:15,0.0,0.0,4410.702625510976,0.0,0.0
2025-05-17 17:32:30,0.0,0.0,4297.035030257892,0.0,0.0
2025-05-17 17:32:45,0.0,0.0,4116.7081768884855,0.0,0.0
2025-05-17 17:33:00,0.0,0.0,4211.799697700597,0.0,0.0
2025-05-17 17:33:15,0.0,15.0,4337.068668174568,0.0,0.0
2025-05-17 17:33:30,0.0,15.0,4476.157116984342,,0.0
2025-05-17 17:33:45,0.0,15.0,4676.980579582608,,0.0
2025-05-17 17:34:00,0.0,15.0,4701.05517207345,,0.0
2025-05-17 17:34:15,0.0,0.0,4655.845876591155,,0.0
2025-05-17 17:34:30,0.0,0.0,4771.79447233288,,0.0
2025-05-17 17:34:45,0.0,0.0,4711.4428499435735,,0.0
2025-05-17 17:35:00,0.0,0.0,4683.91377181118,,0.0
2025-05-17 17:35:15,0.0,81.75,4464.127810600167,,0.0
2025-05-17 17:35:30,0.0,81.75,4106.435393590897,,0.0
2025-05-17 17:35:45,0.0,81.75,4082.3932031147056,,0.0
2025-05-17 17:36:00,0.0,81.75,4052.4359130378575,,0.0
2025-05-17 17:36:15,0.0,51.0,4069.2055786134742,,4.5
2025-05-17 17:36:30,0.0,51.0,4157.443315385141,,4.5
2025-05-17 17:36:45,0.0,51.0,4187.201886965078,,4.5
2025-05-17 17:37:00,0.0,51.0,4208.472448679866,,1.5
